instances,randomScore,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-417.02272727272725,"[[-24.45, -24.4, -24.05, -25.1], [-24.3, -24.45, -24.1, -25.0], [-500.0, -24.6, -24.15, -25.15]]","[[-24.45, -24.4, -24.05, -25.1], [-24.3, -24.45, -24.1, -25.0], [-48.8, -24.6, -24.15, -25.15]]","[[-500.0, -25.8, -30.45, -25.95], [-25.8, -25.85, -26.05, -26.45], [-26.15, -26.25, -25.05, -26.4]]","[[-500.0, -238.85, -25.35, -500.0], [-500.0, -500.0, -429.7, -26.25], [-500.0, -500.0, -500.0, -27.1]]"
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,36.85585585585586,"[[460.5, 294.45, 500.0, 500.0], [500.0, 291.45, 377.9, 454.2], [116.05, 241.35, 478.1, 500.0]]","[[46.55, 387.3, 397.1, 346.9], [83.05, 247.05, 288.5, 295.55], [197.4, 317.6, 406.1, 412.6]]","[[26.25, 187.25, 190.25, 238.3], [302.75, 225.8, 207.0, 258.5], [45.5, 355.4, 370.7, 364.55]]","[[51.4, 58.9, 336.55, 139.85], [35.05, 35.5, 119.1, 500.0], [15.6, 146.55, 139.25, 89.45]]"
CartPole-v1#12.74#0.1#0.13#0.35#13.0,5.0753164556962025,"[[84.85, 302.05, 483.1, 483.5], [34.25, 250.3, 412.4, 461.45], [65.3, 284.5, 491.3, 495.65]]","[[29.9, 180.5, 188.0, 205.3], [34.8, 190.85, 207.0, 246.85], [16.05, 219.4, 197.15, 207.8]]","[[74.85, 75.55, 63.45, 65.65], [78.45, 61.75, 75.65, 97.9], [73.75, 73.35, 93.85, 74.0]]","[[78.8, 68.1, 62.35, 65.6], [80.3, 64.65, 63.35, 93.85], [95.75, 82.75, 74.3, 67.6]]"
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-374.80392156862746,"[[-27.0, -27.0, -27.0, -27.0], [-27.0, -27.0, -27.0, -27.0], [-500.0, -27.0, -27.0, -27.0]]","[[-27.0, -27.0, -27.0, -27.0], [-500.0, -215.05, -27.0, -27.0], [-500.0, -500.0, -172.05, -28.0]]","[[-500.0, -186.1, -27.7, -27.8], [-28.0, -28.6, -27.85, -247.1], [-28.45, -27.8, -27.85, -28.45]]","[[-28.05, -28.35, -500.0, -500.0], [-27.85, -500.0, -500.0, -28.2], [-28.45, -500.0, -500.0, -500.0]]"
MountainCar-v0#0.05#0.005#0.005821428571428572,-349.24528301886795,"[[-20.65, -20.5, -20.0, -21.55], [-20.35, -20.55, -20.05, -21.35], [-500.0, -20.75, -20.1, -21.55]]","[[-20.65, -20.5, -20.0, -21.55], [-500.0, -20.55, -20.05, -21.35], [-20.55, -20.75, -20.1, -21.55]]","[[-35.25, -32.55, -29.55, -28.25], [-52.9, -37.9, -21.4, -27.95], [-23.05, -25.35, -23.6, -27.2]]","[[-500.0, -500.0, -500.0, -500.0], [-452.35, -41.35, -21.1, -489.2], [-487.05, -500.0, -500.0, -500.0]]"
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,-500.0,"[[-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0]]","[[-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0]]","[[-500.0, -500.0, -500.0, -425.4], [-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0]]","[[-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0]]"
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,40.81453634085213,"[[325.05, 226.75, 252.6, 293.2], [309.2, 442.35, 236.25, 214.95], [500.0, 304.55, 500.0, 500.0]]","[[95.2, 218.35, 212.85, 302.45], [178.65, 222.4, 270.25, 331.8], [118.65, 367.5, 263.45, 274.0]]","[[153.85, 362.05, 307.55, 161.1], [19.15, 281.8, 230.0, 211.3], [28.25, 319.05, 254.55, 279.25]]","[[100.5, 29.75, 69.25, 156.1], [17.55, 359.15, 44.75, 30.55], [17.65, 19.3, 20.95, 63.8]]"
CartPole-v1#0.98#0.1#0.13#0.95#13.0,9.071589627959414,"[[17.65, 213.0, 361.2, 473.3], [75.75, 272.3, 386.4, 463.85], [96.55, 254.9, 433.1, 484.95]]","[[172.55, 224.75, 305.75, 312.85], [13.75, 202.1, 265.45, 310.55], [225.1, 245.4, 304.3, 283.4]]","[[173.05, 128.75, 261.05, 322.25], [104.0, 198.65, 348.95, 371.95], [244.05, 157.3, 222.45, 84.95]]","[[157.55, 418.5, 433.75, 280.9], [117.75, 166.55, 415.5, 451.45], [312.5, 194.25, 450.25, 274.3]]"
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,-300.3333333333333,"[[-22.5, -22.5, -22.5, -22.3], [-22.55, -22.5, -22.5, -22.35], [-500.0, -22.5, -22.5, -22.3]]","[[-22.5, -22.5, -22.5, -22.3], [-22.55, -22.5, -22.5, -22.35], [-22.5, -22.5, -22.5, -22.3]]","[[-500.0, -23.45, -23.05, -22.7], [-23.35, -25.3, -23.2, -23.15], [-48.7, -23.2, -23.55, -23.55]]","[[-22.9, -23.25, -490.65, -500.0], [-500.0, -500.0, -500.0, -500.0], [-500.0, -500.0, -500.0, -500.0]]"
LunarLander-v2#32.85714285714286#0.0#1.7,-400.4601505569963,"[[-767.5129178563418, -102.70628735470123, -87.01679237796034, -7.956038319619481], [-153.0954502269231, -133.52878844410694, 68.6774179363008, -53.64338036381756], [-113.8320016666983, -101.52508338454471, -33.327146688381056, -22.292382367373115]]","[[-129.38030648503465, -324.6332204369838, -47.98885220613314, 5.263863483293144], [-126.1796456778325, -2785.0874378201247, -153.13449363685234, 4.504560705211986], [-109.03599866315497, -2148.596296134257, -436.8815919247477, 4.728885608703497]]","[[-107.98539226287808, -80.25275963493405, -75.35336923554965, 12.550486151312665], [-546.8053687047583, -100.09017500768462, -50.37939002220592, -99.07364107363115], [-384.659313500282, -68.15934483263402, -35.76111781800333, 70.22850790120208]]","[[-143.28908814479792, -6.005612068125653, 112.07845869710914, -202.72953233387034], [-183.27545985523273, -109.18861414264397, 29.85407537859145, -53.455236577783126], [-226.6606860960078, -36.4413362848252, 137.82329127118376, -132.66277699345812]]"
