instances,feature_PIC,feature_POIC,feature_neutrality,feature_lostrictmax,feature_lomax,feature_lostrictmin,feature_lomin,feature_yskew,feature_ykurtosis,feature_sqrDcorSASp,feature_GX1,feature_GX2,feature_GX3,feature_PX1,feature_PX2,feature_PX3,feature_EX1,feature_EX2,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow,source
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,0.6135332442669134,0.0395052525540335,0.1178692232432556,0.1,0.1,0.06,0.36,1.828861729800995,3.0765856730901184,0.1255036873424525,0.7896678537346088,0.473948513837488,1.0,1.0,0.8253622766688006,0.9367514403771168,0.9984608388428304,1.0,1.0,1.0,0.9962216673291936,0.0103740124812337,MountainCar
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,0.7056932764031993,0.0039297756582373,0.0017410714285714,0.11,0.11,0.08,0.08,1.6711920391934123,2.635015384949772,0.6453534787429047,-0.0,0.1926400014597741,1.0,-0.0,0.802892302047021,1.0,1.0,-0.0,1.0,0.7710033694549805,0.6733659505491308,0.1194763413737123,CartPole
CartPole-v1#12.74#0.1#0.13#0.35#13.0,0.3897787600941329,0.0030454254854448,0.0161047559097541,0.11,0.11,0.09,0.1,0.7964166782149401,0.0783520389461314,0.4883260459442138,0.9100995732574682,0.707823613086771,1.0,0.0534796090591513,1.0,0.0883542018291007,1.0,0.5268173155458751,1.0,0.7004712802522944,0.2586633758702663,0.2916468309907978,CartPole
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,0.7602123469084425,0.0533751170789795,0.0437758886822186,0.08,0.08,0.07,0.25,1.3069759085749315,1.132737253854473,0.2624192010129647,0.7488028657070579,0.7757116496353698,1.0,1.0,0.9719575309929652,0.6237394493540652,0.9994155531617428,1.0,1.0,0.3664533769308828,0.8457943398353817,0.9967893787349194,MountainCar
MountainCar-v0#0.05#0.005#0.005821428571428572,0.9178222550127432,0.0628017759415413,0.0228332396858611,0.11,0.11,0.07,0.2,0.5560303663065974,-0.913346804123262,0.1180157748415097,0.4103508983896302,0.955022984736294,1.0,1.0,0.9121236542833292,0.8966610917094898,0.9917994269340976,1.0,1.0,1.0,0.9676515157313088,0.0196076930730199,MountainCar
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,0.131990668313295,0.0084197309801312,0.8434922750786668,0.08,0.44,0.0,0.91,6.060707606823954,41.53354344258497,0.0889533888869786,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MountainCar
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,0.7650800109756113,0.0049063655409606,0.0008465608465608,0.12,0.12,0.11,0.11,1.447168932442936,1.628208822659165,0.5379738287423499,0.1225580010434654,0.1225580010434654,1.0,0.1197052964622192,0.2873325177626826,1.0,1.0,-0.0,1.0,0.5989803597602299,0.7340510063094632,0.3113711524620565,CartPole
CartPole-v1#0.98#0.1#0.13#0.95#13.0,0.4446476874659864,0.0023151737737799,0.0106106366459627,0.06,0.06,0.12,0.14,1.7696838983388472,3.331637132923463,0.6288161331896597,0.9415023412253514,0.558497658774649,1.0,-0.0,1.0,0.7455807511698611,1.0,-0.0,0.8192075945285893,0.7411342297253966,0.6762167152091288,1.0,CartPole
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,0.9433677654556316,0.0800744889867047,0.0144831973581973,0.07,0.07,0.1,0.18,0.595887055685211,-0.8275380278864568,0.2308858993600789,0.4381061381844467,0.9911451117402568,1.0,0.97013113161729,1.0,0.4981787275376396,0.9956321281242416,1.0,1.0,1.0,0.997000599880024,-0.0,MountainCar
LunarLander-v2#32.85714285714286#0.0#1.7,0.8711849734297807,0.062656621116942,0.0,0.09,0.09,0.09,0.09,-1.1127302070245737,2.4893224006372066,0.7140176535289013,0.9459051395937677,1.0,0.9772103445991512,0.8670203342994584,1.0,0.9935902962974033,0.9029344985349204,1.0,0.8226954009426382,0.7971312930156641,0.9077235640977976,1.0,LunarLander
LunarLander-v2#44.285714285714285#0.0#1.0999999999999999,0.8298334093441293,0.0334155174820693,0.0,0.07,0.07,0.11,0.11,-1.852792265393748,5.68516741231784,0.5441917353113521,0.7490139844909942,0.9592317285752556,1.0,0.7619559492881354,0.8166516262672651,1.0,1.0,0.972577381792954,0.8191937693191067,0.5346694991083912,0.9787925290667748,1.0,LunarLander
CartPole-v1#18.62#1.3#0.01#0.65#13.0,0.7245026115820974,0.0059750011952533,0.0007023809523809,0.08,0.08,0.08,0.08,1.2214318366412855,0.6625863351261034,0.7979012738826337,0.5538863624483821,0.8067325283571166,1.0,0.103119951731252,0.2262597559314116,1.0,1.0,-0.0,0.8275754100812683,0.8514154659221218,1.0,0.1829236675474896,CartPole
LunarLander-v2#32.85714285714286#1714.2857142857142#1.7,0.4648183622745658,0.0199511807490848,0.0,0.06,0.06,0.09,0.09,-1.085247119743169,3.2018300570085216,0.8230701216776474,0.8668456476571136,0.8787769060818824,1.0,1.0,0.9542816433029954,0.9729519621197515,0.8850394954842958,1.0,0.7863489003582711,0.8120441059359745,0.9255507531238204,1.0,LunarLander
LunarLander-v2#44.285714285714285#571.4285714285714#1.0999999999999999,0.7157728152032994,0.0369222161721721,0.0,0.1,0.1,0.11,0.11,-0.7464093883584721,1.7952770149428705,0.5378320920619375,0.5506414246187049,1.0,0.9135366953072446,1.0,0.8893620121347416,0.7748055158045181,0.7404037241528572,1.0,0.853718557430908,0.9263756270704424,0.9752817241082156,1.0,LunarLander
LunarLander-v2#50.0#1714.2857142857142#1.5,0.3495641084571947,0.004935633146945,0.0,0.1,0.1,0.05,0.05,-1.154770491628256,1.8226553514265,0.9426584319623772,1.0,0.7447920001953178,0.4717161226525895,1.0,0.6189471367892788,-0.0,0.8434308647736446,1.0,0.5488778023722655,0.7896343352014182,0.820720477902814,1.0,LunarLander
LunarLander-v2#15.714285714285715#2000.0#1.7,0.8604732584559471,0.0188039943239767,0.0,0.08,0.08,0.12,0.12,-1.5476425916885368,2.740991882521594,0.7489760705750362,-0.0,1.0,0.5496821666787078,0.4567889976072247,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,LunarLander
MountainCar-v0#0.6#0.0005#0.00025,0.089869143829806,0.0058291180529412,0.7075356828627873,0.07,0.2,0.02,0.85,5.111576597359907,27.52078860288905,0.0991959377966496,0.0,0.2034560302994437,1.0,1.0,0.1659700452803901,0.1997561825148031,0.3334499650104968,1.0,1.0,1.0,0.97532972209138,0.99317004239284,MountainCar
