instances,feature_PIC,feature_POIC,feature_neutrality,feature_lostrictmax,feature_lomax,feature_lostrictmin,feature_lomin,feature_yskew,feature_ykurtosis,feature_sqrDcorSASp,feature_sqrDcorSRtn,feature_sqrDcorSSp,feature_sqrDcorSARtn,feature_sqrDcorSASpRtn,feature_sqrDcorASp,feature_sqrDcorARtn,feature_sqrDcorSpRtn,feature_sqrDcorASpRtn,feature_sqrDcorSSpRtn,feature_GX1,feature_GX2,feature_GX3,feature_PX1,feature_PX2,feature_PX3,feature_EX1,feature_EX2
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,0.6135332442669134,0.03950525255403356,0.11786922324325567,0.1,0.1,0.06,0.36,1.828861729800995,3.0765856730901184,0.1255036873424525,0.01974792158918847,0.986494810330339,0.002286192601349539,0.0022885732345205253,0.00012366559190418554,0.000449478223277025,0.019885772574932927,0.0004494696813527319,0.01976521763742118,0.7896678537346088,0.47394851383748804,1.0,1.0,0.8253622766688006,0.9367514403771169,0.9984608388428305,1.0
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,0.7056932764031993,0.003929775658237395,0.0017410714285714286,0.11,0.11,0.08,0.08,1.6711920391934125,2.6350153849497717,0.6453534787429047,0.12637537729486636,0.8916822671040893,0.07024038045142941,0.07299829307784907,0.08052596317344984,0.0012675654289333272,0.13252027608841055,0.0015748213480787814,0.13010451875704937,-0.0,0.1926400014597741,1.0,-0.0,0.802892302047021,1.0,1.0,-0.0
CartPole-v1#12.74#0.1#0.13#0.35#13.0,0.3897787600941329,0.003045425485444896,0.016104755909754145,0.11,0.11,0.09,0.1,0.7964166782149401,0.07835203894613141,0.4883260459442138,0.11753385805464006,0.4541060221715562,0.11848629359084092,0.5072725620552605,0.4208433478823928,0.0003303042367282882,0.0963451844016432,0.4149253303788158,0.4755987319750344,0.9100995732574682,0.707823613086771,1.0,0.053479609059151396,1.0,0.08835420182910078,1.0,0.5268173155458751
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,0.7602123469084425,0.05337511707897957,0.04377588868221861,0.08,0.08,0.07,0.25,1.3069759085749317,1.132737253854473,0.2624192010129647,0.036946785319557564,0.9953610011799494,0.007623094312833884,0.007635678899844613,-4.07763780101701e-05,0.0007065155366623441,0.03667114349117966,0.000706338471588542,0.03699193221018029,0.7488028657070579,0.7757116496353698,1.0,1.0,0.9719575309929652,0.6237394493540652,0.9994155531617428,1.0
MountainCar-v0#0.05#0.005#0.005821428571428572,0.9178222550127433,0.0628017759415413,0.022833239685861168,0.11,0.11,0.07,0.2,0.5560303663065974,-0.913346804123262,0.11801577484150974,0.04126299261794778,0.9819534491792566,0.004274050705101152,0.004275274284316072,0.00020850557199483745,0.0005452758306975664,0.04114932327772549,0.0005451830412093031,0.0412737288919521,0.41035089838963024,0.9550229847362941,1.0,1.0,0.9121236542833292,0.8966610917094898,0.9917994269340975,1.0
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,0.13199066831329506,0.008419730980131213,0.8434922750786668,0.08,0.44,0.0,0.91,6.060707606823954,41.53354344258497,0.08895338888697867,0.022780087605283137,0.9817416946499303,0.0026262862140326187,0.002627145761535681,0.0006272884122039866,0.0010196818070590506,0.022493229993349798,0.0010196449803802985,0.0227894675092329,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,0.7650800109756113,0.004906365540960633,0.0008465608465608465,0.12,0.12,0.11,0.11,1.447168932442936,1.6282088226591647,0.5379738287423499,0.18344812784400485,0.9259780352096403,0.07923574759223258,0.08161898642141574,0.0533389661797889,0.00013973376834130414,0.1859566549215018,0.0003273476841056631,0.18748694340664912,0.12255800104346541,0.12255800104346541,1.0,0.11970529646221921,0.28733251776268265,1.0,1.0,-0.0
CartPole-v1#0.98#0.1#0.13#0.95#13.0,0.4446476874659864,0.002315173773779924,0.010610636645962733,0.06,0.06,0.12,0.14,1.7696838983388472,3.331637132923463,0.6288161331896597,0.09044614491072653,0.5926681123445746,0.08996141607151881,0.4864655236448244,0.28341380037360936,0.0004973336882404763,0.09162869845690892,0.18882573711550266,0.46589580414953763,0.9415023412253514,0.558497658774649,1.0,-0.0,1.0,0.7455807511698611,1.0,-0.0
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,0.9433677654556316,0.08007448898670477,0.01448319735819736,0.07,0.07,0.1,0.18,0.595887055685211,-0.8275380278864568,0.23088589936007894,0.08064440186492487,0.9949692767658042,0.018292814018870018,0.018303583159228354,-0.00020888949685178237,0.0020484273733954177,0.0854445715670647,0.0020479643393636576,0.08069174039792389,0.4381061381844467,0.9911451117402567,1.0,0.9701311316172899,1.0,0.49817872753763964,0.9956321281242417,1.0
LunarLander-v2#32.85714285714286#0.0#1.7,0.8711849734297807,0.06265662111694209,0.0,0.09,0.09,0.09,0.09,-1.1127302070245737,2.4893224006372066,0.7140176535289013,0.20778247123330193,0.9963645797186953,0.12792264945235957,0.12819982987974318,0.00184345720295272,0.00204778351912488,0.20507848506194484,0.0020485809218051235,0.20814065418654262,0.9459051395937675,1.0,0.9772103445991511,0.8670203342994584,1.0,0.9935902962974031,0.9029344985349204,1.0
