instances,randomScore,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-417.02272727272725,-24.100000000000005,-24.100000000000005,-25.53333333333333,-26.233333333333334
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,36.85585585585586,500.0,368.4166666666667,303.9166666666667,327.7
CartPole-v1#12.74#0.1#0.13#0.35#13.0,5.0753164556962025,480.2,223.85,89.09999999999998,89.46666666666665
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-374.80392156862746,-27.0,-27.333333333333332,-27.78333333333333,-28.11666666666667
MountainCar-v0#0.05#0.005#0.005821428571428572,-349.24528301886795,-20.05,-20.05,-23.349999999999998,-336.05
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,-500.0,-500.0,-500.0,-475.1333333333334,-500.0
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,40.81453634085213,422.4666666666667,333.9166666666667,320.9666666666667,193.01666666666665
CartPole-v1#0.98#0.1#0.13#0.95#13.0,9.071589627959414,474.03333333333336,309.23333333333335,312.75,445.15000000000003
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,-300.3333333333333,-22.316666666666666,-22.316666666666666,-23.016666666666666,-340.96666666666664
LunarLander-v2#32.85714285714286#0.0#1.7,-400.4601505569963,12.809665749769401,4.832436599069542,10.79986801010294,93.2519417822948
MountainCar-v0#0.12857142857142856#0.001142857142857143#0.008607142857142858,-500.0,-500.0,-500.0,-500.0,-500.0
LunarLander-v2#44.285714285714285#0.0#1.0999999999999999,-237.7310117496121,12.902225673311284,-25.706928795925194,22.167082397484013,187.99007101798625
CartPole-v1#18.62#1.3#0.01#0.65#13.0,23.441726618705037,439.6666666666667,271.5166666666667,263.93333333333334,161.08333333333334
LunarLander-v2#32.85714285714286#1714.2857142857142#1.7,-293.55970989368456,-22.84761261322274,-86.32201795117379,-49.399667856423974,-41.378246101013225
LunarLander-v2#44.285714285714285#571.4285714285714#1.0999999999999999,-235.6306245266637,-44.85327953366831,-58.253517735429035,-58.68144425044489,34.49124631782703
LunarLander-v2#50.0#1714.2857142857142#1.5,-320.5008199120585,-145.68126855653762,-99.40592172568086,-102.22808196718017,-56.388602906408856
LunarLander-v2#15.714285714285715#2000.0#1.7,-335.49323606693343,-466.64206748822835,-275.7950173690145,-222.31305144302235,-239.45581575476743
MountainCar-v0#0.6#0.0005#0.00025,-500.0,-75.45,-75.45,-80.2,-218.61666666666667
LunarLander-v2#10.0#1714.2857142857142#1.0999999999999999,-813.5866290054231,-563.38977924876,-559.9042275638833,-577.4906995604641,-568.8707464926512
CartPole-v1#0.98#0.1#0.01#0.35#19.0,4.0825267447784,208.96666666666667,187.05000000000004,59.11666666666667,57.85
CartPole-v1#6.859999999999999#0.1#0.06999999999999999#0.35#19.0,4.08773272124458,458.4666666666667,326.4666666666667,56.333333333333336,73.66666666666667
CartPole-v1#6.859999999999999#0.7#0.19#0.65#19.0,15.92800788954635,479.4166666666667,394.3666666666666,194.51666666666665,286.93333333333334
LunarLander-v2#38.57142857142857#0.0#1.7,-446.0107087820821,-8.699017734371381,-63.136435029602275,13.798336812688456,147.83773413022547
