instances,DCOR,PolicyNetwork,RLlandmark
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,"[0.7348415851593018, 14.932066]","[4.371450185775757, 2.2311021999999987]","[3.2943928241729736, 0.1341234]"
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,"[0.6195435523986816, 13.302660900000003]","[0.5384888648986816, 2.0624023999999963]","[0.6957917213439941, 0.13669890000000606]"
CartPole-v1#12.74#0.1#0.13#0.35#13.0,"[0.7860779762268066, 16.486392499999994]","[0.3656461238861084, 2.017909500000002]","[0.4489419460296631, 0.22197580000000272]"
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,"[0.6495926380157471, 13.462493100000003]","[4.41261887550354, 2.1753533999999917]","[3.200503349304199, 0.13681549999999731]"
MountainCar-v0#0.05#0.005#0.005821428571428572,"[0.6783096790313721, 13.799325399999987]","[4.469006061553955, 2.283283499999996]","[3.1648802757263184, 0.1530336999999946]"
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,"[0.572582483291626, 11.701561300000009]","[5.183018922805786, 2.157794100000004]","[5.859946012496948, 0.1297888999999941]"
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,"[0.7169740200042725, 15.570538499999998]","[0.5815577507019043, 2.0730376000000064]","[0.9431037902832031, 0.23764129999999284]"
CartPole-v1#0.98#0.1#0.13#0.95#13.0,"[0.6610686779022217, 14.12571579999998]","[0.38651156425476074, 2.062541699999997]","[0.359424352645874, 0.13554779999998345]"
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,"[0.7345705032348633, 15.32453989999999]","[3.711655855178833, 2.1610611999999776]","[2.9190104007720947, 0.2234087999999872]"
LunarLander-v2#32.85714285714286#0.0#1.7,"[0.8645210266113281, 15.33662559999999]","[2.5940537452697754, 2.113454699999977]","[2.6621649265289307, 0.16232020000001057]"
MountainCar-v0#0.12857142857142856#0.001142857142857143#0.008607142857142858,"[0.551124095916748, 11.148449499999998]","[5.29962682723999, 2.1831195000000037]","[6.672583103179932, 0.21155350000000794]"
LunarLander-v2#44.285714285714285#0.0#1.0999999999999999,"[0.9508612155914307, 16.263123500000006]","[2.2281062602996826, 2.119450300000011]","[2.2516252994537354, 0.17340970000000766]"
CartPole-v1#18.62#1.3#0.01#0.65#13.0,"[0.5959048271179199, 12.68032629999999]","[0.47066450119018555, 2.064031199999988]","[0.7432041168212891, 0.2497635999999943]"
LunarLander-v2#32.85714285714286#1714.2857142857142#1.7,"[0.8645994663238525, 15.452604399999984]","[1.9872996807098389, 2.063324100000017]","[2.409614324569702, 0.18525249999999005]"
LunarLander-v2#44.285714285714285#571.4285714285714#1.0999999999999999,"[0.9167978763580322, 16.644942499999985]","[2.0385851860046387, 2.0661737000000073]","[1.9655356407165527, 0.17004790000004277]"
LunarLander-v2#50.0#1714.2857142857142#1.5,"[0.8417975902557373, 15.067640100000006]","[1.389017105102539, 2.110022399999991]","[1.3630201816558838, 0.26371190000003253]"
LunarLander-v2#15.714285714285715#2000.0#1.7,"[0.8972456455230713, 15.826454300000023]","[3.665720224380493, 2.0889435000000276]","[12.127395153045654, 0.15829139999999597]"
