instances,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,"[[26.248190879821777, 22.686760663986206, 24.101685762405396], [25.871349499999997, 22.5182852, 23.9453417]]","[[26.1578950881958, 26.060566186904907, 27.74333667755127], [25.857064199999996, 25.752605999999986, 27.383021500000012]]","[[20.449589014053345, 19.750300407409668, 20.43648934364319], [20.210112899999984, 19.52227479999999, 20.194141599999995]]","[[26.268195867538452, 26.39369249343872, 26.338459014892578], [26.0587405, 26.1763646, 26.142225699999983]]"
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,"[[29.33630347251892, 26.20244598388672, 24.764461040496826], [29.16163369999998, 26.02584029999997, 24.58485059999998]]","[[27.820998907089233, 27.107263803482056, 28.975702047348022], [27.58619630000004, 26.860343999999998, 28.726665800000035]]","[[19.54394030570984, 19.959678649902344, 20.214431524276733], [19.35516350000006, 19.7828303, 20.055362599999967]]","[[22.74797034263611, 22.411865711212158, 21.65817666053772], [22.587827400000037, 22.252153499999963, 21.49877230000004]]"
CartPole-v1#12.74#0.1#0.13#0.35#13.0,"[[25.20569372177124, 26.081902027130127, 29.488324403762817], [25.00586610000005, 25.860267200000067, 29.260482900000056]]","[[29.614464044570923, 27.115816354751587, 26.9226291179657], [29.31473850000009, 26.84100849999993, 26.643657799999914]]","[[20.231218338012695, 19.982945442199707, 19.500009298324585], [20.010555100000033, 19.760836400000017, 19.29396410000004]]","[[24.21479558944702, 23.270973205566406, 24.017975330352783], [24.003745300000105, 23.073749299999918, 23.823559400000022]]"
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,"[[23.91244101524353, 21.829173803329468, 23.54280662536621], [23.74183400000004, 21.66529749999995, 23.380341899999962]]","[[25.41336941719055, 25.45070195198059, 31.642908811569214], [25.137168199999905, 25.226955999999973, 31.345410299999912]]","[[21.6698956489563, 18.310014009475708, 18.606356382369995], [21.403664299999946, 18.109952199999952, 18.412610500000028]]","[[23.880897283554077, 23.860127210617065, 25.195168256759644], [23.712930299999925, 23.68436059999999, 25.02219839999998]]"
MountainCar-v0#0.05#0.005#0.005821428571428572,"[[23.7008216381073, 21.4303297996521, 24.236008644104004], [23.520297899999832, 21.2525263, 24.06882359999986]]","[[30.00221586227417, 27.2890625, 24.907894372940063], [29.642646799999966, 27.040332199999966, 24.70063920000007]]","[[19.888917207717896, 21.202557802200317, 20.067643642425537], [19.604187899999943, 20.91479900000013, 19.844532200000003]]","[[24.189937829971313, 22.84020447731018, 24.455399990081787], [24.028511799999933, 22.636850800000047, 24.280455200000006]]"
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,"[[25.506592273712158, 25.18322229385376, 23.983669996261597], [25.35669370000005, 25.02562899999998, 23.83485059999998]]","[[26.124048709869385, 26.925881147384644, 27.759538650512695], [25.934829600000057, 26.75921789999984, 27.578240699999924]]","[[21.439019680023193, 21.490036964416504, 21.15458869934082], [21.28380960000004, 21.3237251999999, 21.003710100000035]]","[[23.7364559173584, 26.801320791244507, 23.762855768203735], [23.58312980000005, 26.622240300000158, 23.604794500000025]]"
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,"[[23.03153109550476, 22.356826305389404, 23.53620481491089], [22.8532395000002, 22.164220199999818, 23.33117880000009]]","[[23.802363872528076, 24.343308210372925, 25.273343324661255], [23.602942299999995, 24.129381199999898, 25.048205700000153]]","[[20.434560298919678, 20.7543044090271, 22.045429468154907], [20.215191300000015, 20.518307699999923, 21.8015398]]","[[24.571723699569702, 23.130274295806885, 22.570176124572754], [24.335140200000296, 22.92414890000009, 22.325660099999823]]"
CartPole-v1#0.98#0.1#0.13#0.95#13.0,"[[24.2125403881073, 29.269479990005493, 26.912140130996704], [23.984539600000062, 29.016702500000065, 26.67929929999991]]","[[26.92941927909851, 26.637219667434692, 27.0768620967865], [26.665601700000025, 26.347982699999648, 26.80180819999987]]","[[20.54098916053772, 20.2050302028656, 19.629136085510254], [20.30659220000007, 19.99808380000013, 19.397692100000313]]","[[24.05854034423828, 24.223148584365845, 24.797465562820435], [23.868559700000333, 24.02489800000012, 24.59114469999986]]"
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,"[[24.33762264251709, 22.86929726600647, 24.531230926513672], [24.111038200000166, 22.635622799999965, 24.310024899999917]]","[[26.4908390045166, 24.90896511077881, 26.882319450378418], [26.126715500000046, 24.590608599999996, 26.541051600000173]]","[[19.482704639434814, 19.459337949752808, 20.81934666633606], [19.21108950000007, 19.1601998000001, 20.495786399999815]]","[[25.37574052810669, 26.61776304244995, 27.25105881690979], [25.148247699999956, 26.388269800000216, 27.00715900000023]]"
LunarLander-v2#32.85714285714286#0.0#1.7,"[[25.091182708740234, 26.77253007888794, 26.636043071746826], [24.389863299999888, 25.979349300000194, 25.578247200000078]]","[[31.281375885009766, 32.30205941200256, 30.30424427986145], [29.936473200000364, 30.97447000000011, 29.298952999999983]]","[[25.012978076934814, 23.39659357070923, 25.716049909591675], [24.029279499999575, 22.500579899999593, 24.313784499999656]]","[[28.911110877990723, 29.944255828857422, 26.610218286514282], [27.636824100000013, 28.448969699999907, 25.58609269999988]]"
